,trackName,Punctuation,User
0,Happy Father s Day,5,0
2,Sid and Nancy,5,0
3,California Drought,5,0
6,I m a Transvest-Lite,5,0
7,Ditch Effort,4,0
8,Dead Beat Mom,5,0
9,Bye Bye Biopsy Girl,4,0
10,It Ain t Lonely at the Bottom,4,0
11,I m so Sorry Tony,4,0
12,Generation Z,5,0
13,Six Years on Dope,5,0
14,Happy Father s Day,5,0
15,Sid and Nancy,5,0
16,California Drought,5,0
17,Oxy Moronic,5,0
18,I Don t Like Me Anymore,5,0
19,I m a Transvest-Lite,5,0
20,Ditch Effort,4,0
21,Dead Beat Mom,5,0
22,Bye Bye Biopsy Girl,4,0
23,It Ain t Lonely at the Bottom,4,0
24,I m so Sorry Tony,4,0
25,Generation Z,5,0
27,Head? Chest? Or Foot?,5,0
29,Showdown (G.E./P.),5,0
32,"Stick the Fucking Flag up Your Goddamn Ass, You Sonofabitch",5,0
36,This Might Be Satire,5,0
44,The Irrationality of Rationality,4,0
46,Idiots Are Taking Over,5,0
51,Anarchy Camp,4,0
52,American Errorist (I Hate Hate Haters),4,0
53,We Got Two Jealous Agains,4,0
54,13 Stitches,4,0
55,Re-Gaining Unconsciousness,4,0
56,"Whoops, I Od d",4,0
58,The Irrationality of Rationality,4,0
59,Franco Un-American,5,0
60,Idiots Are Taking Over,5,0
61,She s Nubs,4,0
63,Decom-Poseur,4,0
65,Anarchy Camp,4,0
67,American Errorist (I Hate Hate Haters),4,0
69,13 Stitches,4,0
71,"Whoops, I Od d",4,0
72,The Separation of Church and Skate,5,0
74,Franco Un-American,5,0
75,Idiots Are Taking Over,5,0
77,Showdown (G.E./P.),5,0
78,Anti-Manifesto,5,0
80,"Hate, Myth, Muscle, Etiquette",5,0
81,Showdown (G.E./P.),5,0
82,Ska Sucks,5,0
83,Middle Finger Response,5,0
86,Fuck Machine,5,0
87,This Might Be Satire,5,0
88,Who Will Help Me Bake This Bread?,5,0
90,Homophobes Are Just Pissed  Cause They Can t Get Laid,5,0
91,Leg-Hold Trap,5,0
92,I Want U 2 Vant Me,5,0
93,Middle Finger Response (Demo),5,0
96,Fuck Machine (Demo),5,0
101,Ska Sucks,5,0
102,Middle Finger Response,5,0
103,"Stick the Fucking Flag up Your Goddamn Ass, You Sonofabitch",5,0
104,"Haille Sellasse, Up Your Ass",5,0
105,Fuck Machine,5,0
106,Fuck Machine,5,0
107,This Might Be Satire,5,0
109,Pigs Will Pay,5,0
110,Homophobes Are Just Pissed  Cause They Can t Get Laid,5,0
111,Leg-Hold Trap,5,0
112,Leg-Hold Trap,5,0
113,I Want U 2 Vant Me,5,0
115,Anti-Manifesto,5,0
116,Head? Chest? Or Foot?,5,0
117,Head? Chest? Or Foot?,5,0
119,"Hate, Myth, Muscle, Etiquette",5,0
120,Showdown (G.E./P.),5,0
122,Middle Finger Response,5,0
123,"Stick the Fucking Flag up Your Goddamn Ass, You Sonofabitch",5,0
124,"Haille Sellasse, Up Your Ass",5,0
125,Fuck Machine,5,0
126,This Might Be Satire,5,0
127,Who Will Help Me Bake This Bread?,5,0
131,I Want U 2 Vant Me,5,0
135,Fuck Machine (Demo),5,0
136,Anti-Manifesto,5,0
137,Head? Chest? Or Foot?,5,0
138,"Hate, Myth, Muscle, Etiquette",5,0
139,Showdown (G.E./P.),5,0
140,Ska Sucks,5,0
141,Middle Finger Response,5,0
142,"Stick the Fucking Flag up Your Goddamn Ass, You Sonofabitch",5,0
144,"Haille Sellasse, Up Your Ass",5,0
146,"Haille Sellasse, Up Your Ass",5,0
147,Fuck Machine,5,0
148,This Might Be Satire,5,0
151,Homophobes Are Just Pissed  Cause They Can t Get Laid,5,0
152,Leg-Hold Trap,5,0
